,second,categories
431,431,"['design', 'flooring', 'decor']"
432,432,"['design', 'flooring', 'decor']"
433,433,"['design', 'flooring', 'ceiling']"
434,434,"['design', 'flooring', 'ceiling']"
435,435,"['design', 'flooring', 'ceiling']"
436,436,"['design', 'furniture', 'flooring']"
437,437,"['furniture', 'flooring', 'walls']"
438,438,"['furniture', 'walls', 'windows']"
439,439,"['furniture', 'flooring', 'decor']"
440,440,"['furniture', 'flooring', 'decor']"
441,441,"['furniture', 'decor', 'flooring']"
442,442,"['furniture', 'flooring', 'decor']"
443,443,"['furniture', 'decor', 'windows']"
444,444,"['furniture', 'windows', 'decor']"
445,445,"['furniture', 'windows', 'decor']"
446,446,"['design', 'flooring', 'furniture']"
447,447,"['design', 'flooring', 'furniture']"
448,448,"['design', 'furniture', 'flooring']"
449,449,"['furniture', 'design', 'flooring']"
450,450,"['furniture', 'design', 'flooring']"
451,451,"['furniture', 'design', 'decor']"
452,452,"['furniture', 'design', 'decor']"
453,453,"['furniture', 'design', 'decor']"
454,454,"['furniture', 'design', 'decor']"
455,455,"['flooring', 'furniture', 'decor']"
456,456,"['flooring', 'furniture', 'decor']"
457,457,"['decor', 'furniture', 'walls']"
458,458,"['decor', 'walls', 'furniture']"
459,459,"['furniture', 'decor', 'flooring']"
460,460,"['decor', 'furniture', 'flooring']"
461,461,"['flooring', 'furniture', 'decor']"
462,462,"['flooring', 'decor', 'design']"
463,463,"['flooring', 'decor', 'design']"
464,464,"['decor', 'flooring', 'design']"
465,465,"['decor', 'flooring', 'design']"
466,466,"['decor', 'flooring', 'design']"
467,467,"['decor', 'flooring', 'design']"
468,468,"['decor', 'flooring', 'design']"
469,469,"['decor', 'flooring', 'design']"
470,470,"['decor', 'flooring', 'design']"
471,471,"['decor', 'flooring', 'design']"
472,472,"['decor', 'flooring', 'design']"
473,473,"['decor', 'flooring', 'design']"
474,474,"['decor', 'flooring', 'design']"
475,475,"['decor', 'flooring', 'design']"
476,476,"['decor', 'flooring', 'design']"
477,477,"['decor', 'flooring', 'design']"
478,478,"['decor', 'flooring', 'design']"
479,479,"['decor', 'flooring', 'design']"
480,480,"['decor', 'flooring', 'design']"
481,481,"['furniture', 'flooring', 'decor']"
482,482,"['windows', 'walls', 'furniture']"
483,483,"['walls', 'windows', 'decor']"
484,484,"['walls', 'windows', 'furniture']"
485,485,"['walls', 'windows', 'furniture']"
486,486,"['walls', 'windows', 'furniture']"
487,487,"['walls', 'decor', 'furniture']"
488,488,"['furniture', 'decor', 'windows']"
489,489,"['furniture', 'flooring', 'decor']"
490,490,"['walls', 'windows', 'furniture']"
491,491,"['walls', 'furniture', 'windows']"
492,492,"['furniture', 'design', 'decor']"
493,493,"['furniture', 'design', 'decor']"
494,494,"['design', 'decor', 'furniture']"
495,495,"['design', 'decor', 'lighting']"
496,496,"['design', 'decor', 'lighting']"
497,497,"['design', 'decor', 'lighting']"
498,498,"['design', 'lighting', 'decor']"
499,499,"['design', 'lighting', 'decor']"
500,500,"['design', 'lighting', 'decor']"
501,501,"['furniture', 'decor', 'windows']"
502,502,"['furniture', 'decor', 'design']"
503,503,"['furniture', 'decor', 'design']"
504,504,"['decor', 'furniture', 'windows']"
505,505,"['decor', 'furniture', 'flooring']"
506,506,"['decor', 'furniture', 'walls']"
507,507,"['decor', 'furniture', 'walls']"
508,508,"['furniture', 'decor', 'walls']"
509,509,"['furniture', 'decor', 'walls']"
510,510,"['design', 'flooring', 'ceiling']"
511,511,"['design', 'flooring', 'ceiling']"
512,512,"['design', 'ceiling', 'decor']"
513,513,"['design', 'ceiling', 'flooring']"
514,514,"['design', 'ceiling', 'flooring']"
515,515,"['design', 'flooring', 'ceiling']"
516,516,"['design', 'ceiling', 'decor']"
517,517,"['design', 'ceiling', 'decor']"
518,518,"['design', 'ceiling', 'decor']"
519,519,"['design', 'ceiling', 'decor']"
520,520,"['design', 'ceiling', 'decor']"
521,521,"['furniture', 'flooring', 'decor']"
522,522,"['flooring', 'furniture', 'decor']"
523,523,"['furniture', 'decor', 'windows']"
524,524,"['decor', 'walls', 'furniture']"
525,525,"['furniture', 'flooring', 'decor']"
526,526,"['furniture', 'decor', 'flooring']"
527,527,"['flooring', 'furniture', 'decor']"
528,528,"['furniture', 'decor', 'flooring']"
529,529,"['flooring', 'furniture', 'decor']"
530,530,"['decor', 'flooring', 'design']"
531,531,"['decor', 'flooring', 'design']"
532,532,"['decor', 'flooring', 'design']"
533,533,"['decor', 'flooring', 'design']"
534,534,"['decor', 'flooring', 'design']"
535,535,"['decor', 'flooring', 'design']"
536,536,"['decor', 'flooring', 'design']"
537,537,"['decor', 'flooring', 'design']"
538,538,"['decor', 'flooring', 'design']"
539,539,"['decor', 'flooring', 'design']"
540,540,"['decor', 'flooring', 'design']"
541,541,"['decor', 'flooring', 'design']"
542,542,"['furniture', 'decor', 'windows']"
543,543,"['decor', 'furniture', 'windows']"
544,544,"['furniture', 'decor', 'design']"
545,545,"['furniture', 'decor', 'flooring']"
546,546,"['furniture', 'decor', 'windows']"
547,547,"['furniture', 'decor', 'design']"
548,548,"['furniture', 'decor', 'flooring']"
549,549,"['decor', 'furniture', 'windows']"
550,550,"['decor', 'furniture', 'walls']"
551,551,"['decor', 'walls', 'design']"
552,552,"['decor', 'furniture', 'walls']"
553,553,"['walls', 'decor', 'furniture']"
554,554,"['furniture', 'decor', 'windows']"
555,555,"['furniture', 'decor', 'windows']"
556,556,"['walls', 'decor', 'flooring']"
557,557,"['decor', 'walls', 'furniture']"
558,558,"['decor', 'walls', 'furniture']"
559,559,"['decor', 'walls', 'design']"
560,560,"['decor', 'walls', 'furniture']"
561,561,"['decor', 'walls', 'design']"
562,562,"['walls', 'decor', 'furniture']"
563,563,"['walls', 'decor', 'design']"
564,564,"['decor', 'walls', 'furniture']"
565,565,"['decor', 'furniture', 'walls']"
566,566,"['decor', 'furniture', 'walls']"
567,567,"['decor', 'furniture', 'walls']"
568,568,"['decor', 'furniture', 'windows']"
569,569,"['design', 'ceiling', 'decor']"
570,570,"['flooring', 'design', 'ceiling']"
571,571,"['design', 'flooring', 'decor']"
572,572,"['design', 'flooring', 'decor']"
573,573,"['decor', 'ceiling', 'flooring']"
574,574,"['decor', 'ceiling', 'flooring']"
575,575,"['decor', 'ceiling', 'flooring']"
576,576,"['decor', 'ceiling', 'flooring']"
577,577,"['decor', 'ceiling', 'flooring']"
578,578,"['decor', 'ceiling', 'flooring']"
579,579,"['furniture', 'decor', 'flooring']"
580,580,"['furniture', 'decor', 'flooring']"
581,581,"['furniture', 'decor', 'design']"
